"phecode","range_start","range_end"
705.1,705.00,706.99
713.5,710.00,716.99
753.1,752.00,754.99
720.1,720.00,724.99
300.2,295.00,306.99
427.21,426.00,427.99
427.22,426.00,427.99
443.9,440.00,449.99
525.2,520.00,526.99
246.6,240.00,246.99
525.1,520.00,526.99
735.1,735.00,739.99
735.2,735.00,739.99
276.8,276.00,276.99
276.5,276.00,276.99
276.41,276.00,276.99
276.42,276.00,276.99
276.4,276.00,276.99
706.1,705.00,706.99
242.2,240.00,246.99
245.2,240.00,246.99
245.1,240.00,246.99
241.1,240.00,246.99
241.2,240.00,246.99
244.3,240.00,246.99
246.2,240.00,246.99
110.1,110.00,118.99
251.1,249.00,259.99
271.3,271.00,271.99
274.1,274.00,274.99
284.1,280.00,285.99
285.22,280.00,285.99
286.5,286.00,287.99
287.3,286.00,287.99
287.31,286.00,287.99
379.1,375.00,379.99
289.4,288.00,289.99
289.5,288.00,289.99
378.5,375.00,379.99
360.3,360.00,365.99
361.1,360.00,365.99
377.1,375.00,379.99
363.3,360.00,365.99
363.4,360.00,365.99
374.3,369.00,374.99
374.1,369.00,374.99
626.1,626.00,628.99
626.11,626.00,628.99
626.12,626.00,628.99
610.1,610.00,613.99
622.1,620.00,623.99
627.2,626.00,628.99
686.1,680.00,686.99
703.1,703.00,704.99
440.1,440.00,449.99
378.1,375.00,379.99
379.4,375.00,379.99
379.3,375.00,379.99
385.3,381.00,385.99
386.3,386.00,386.99
386.21,386.00,386.99
394.1,394.00,399.99
394.7,394.00,399.99
411.1,410.00,414.99
411.2,410.00,414.99
440.9,440.00,449.99
446.5,440.00,449.99
440.2,440.00,449.99
447.1,440.00,449.99
627.3,626.00,628.99
451.2,450.00,457.99
458.1,458.00,459.99
459.9,458.00,459.99
426.7,426.00,427.99
459.7,458.00,459.99
519.1,519.00,519.99
521.1,520.00,526.99
521.2,520.00,526.99
522.1,520.00,526.99
522.5,520.00,526.99
523.3,520.00,526.99
523.1,520.00,526.99
524.3,520.00,526.99
531.2,531.00,531.99
531.4,531.00,531.99
531.3,531.00,531.99
535.1,535.00,537.99
535.6,535.00,537.99
569.1,565.00,569.99
574.1,574.00,576.99
574.11,574.00,576.99
575.1,574.00,576.99
575.6,574.00,576.99
577.1,577.00,577.99
577.2,577.00,577.99
577.3,577.00,577.99
578.1,578.00,579.99
578.2,578.00,579.99
578.9,578.00,579.99
246.7,240.00,246.99
588.1,580.00,590.99
588.2,580.00,590.99
592.2,590.00,593.99
592.3,590.00,593.99
627.1,626.00,628.99
593.2,590.00,593.99
596.1,595.00,597.99
596.5,595.00,597.99
706.2,705.00,706.99
722.6,720.00,724.99
722.3,720.00,724.99
722.1,720.00,724.99
711.1,710.00,716.99
288.2,288.00,289.99
288.11,288.00,289.99
289.9,288.00,289.99
250.4,249.00,250.99
573.2,570.00,573.99
573.3,570.00,573.99
250.5,249.00,250.99
259.1,251.00,259.99
260.1,260.00,264.99
260.2,260.00,264.99
274.11,274.00,274.99
274.2,274.00,274.99
244.5,240.00,246.99
117.1,110.00,118.99
117.2,110.00,118.99
573.4,570.00,573.99
573.9,570.00,573.99
189.21,188.00,189.99
172.2,172.00,173.99
172.3,172.00,173.99
189.4,188.00,189.99
189.11,188.00,189.99
189.12,188.00,189.99
202.2,200.00,204.99
202.21,200.00,204.99
202.22,200.00,204.99
202.23,200.00,204.99
202.24,200.00,204.99
204.11,200.00,204.99
204.12,200.00,204.99
204.21,200.00,204.99
204.22,200.00,204.99
204.3,200.00,204.99
204.4,200.00,204.99
270.2,269.00,270.99
198.1,195.00,199.99
198.2,195.00,199.99
198.3,195.00,199.99
198.4,195.00,199.99
198.5,195.00,199.99
198.6,195.00,199.99
270.1,269.00,270.99
199,195.00,199.99
199.4,195.00,199.99
250.13,249.00,250.99
250.23,249.00,250.99
250.14,249.00,250.99
250.24,249.00,250.99
250.15,249.00,250.99
250.25,249.00,250.99
250.11,249.00,250.99
250.21,249.00,250.99
252.2,251.00,259.99
253.3,251.00,259.99
253.1,251.00,259.99
253.2,251.00,259.99
255.1,251.00,259.99
255.2,251.00,259.99
255.11,251.00,259.99
255.12,251.00,259.99
255.3,251.00,259.99
257.1,251.00,259.99
259.8,251.00,259.99
261,260.00,264.99
261.1,260.00,264.99
261.2,260.00,264.99
261.3,260.00,264.99
261.4,260.00,264.99
261.41,260.00,264.99
262,260.00,264.99
272.11,272.00,272.99
272.12,272.00,272.99
272.13,272.00,272.99
272.14,272.00,272.99
274.21,274.00,274.99
277.51,277.00,277.99
276.6,276.00,276.99
276.11,276.00,276.99
276.12,276.00,276.99
276.13,276.00,276.99
276.14,276.00,276.99
499,499.00,499.99
275.53,275.00,275.99
279.1,279.00,279.99
279.11,279.00,279.99
279.2,279.00,279.99
270.3,269.00,270.99
270.31,269.00,270.99
270.32,269.00,270.99
271.9,271.00,271.99
270.33,269.00,270.99
278.3,278.00,278.99
278.4,278.00,278.99
279.7,279.00,279.99
446.8,440.00,449.99
446.7,440.00,449.99
260.6,260.00,264.99
260.7,260.00,264.99
285.21,280.00,285.99
285.3,280.00,285.99
282.9,280.00,285.99
280.1,280.00,285.99
280.2,280.00,285.99
281.11,280.00,285.99
281.12,280.00,285.99
281.13,280.00,285.99
286.8,286.00,287.99
287.32,286.00,287.99
287.1,286.00,287.99
288.3,288.00,289.99
327.1,327.00,328.99
300.8,295.00,306.99
300.9,295.00,306.99
292,290.00,292.99
290.3,290.00,292.99
290.2,290.00,292.99
291.1,290.00,292.99
290.11,290.00,292.99
290.12,290.00,292.99
290.13,290.00,292.99
315.3,312.00,315.99
313.2,312.00,315.99
313.1,312.00,315.99
312.3,312.00,315.99
295.2,295.00,306.99
295.1,295.00,306.99
317.1,316.00,319.99
317.11,316.00,319.99
318,316.00,319.99
303,295.00,306.99
303.1,295.00,306.99
303.3,295.00,306.99
303.4,295.00,306.99
304,295.00,306.99
327.32,327.00,328.99
327.31,327.00,328.99
327.6,327.00,328.99
327.7,327.00,328.99
290.16,290.00,292.99
361.2,360.00,365.99
365.5,360.00,365.99
253.4,251.00,259.99
367.8,367.00,367.99
367.9,367.00,367.99
368.7,368.00,368.99
368.3,368.00,368.99
368.4,368.00,368.99
368.9,368.00,368.99
369.2,369.00,374.99
369.5,369.00,374.99
371.3,369.00,374.99
371.33,369.00,374.99
371.1,369.00,374.99
371.2,369.00,374.99
375.1,375.00,379.99
375.2,375.00,379.99
371.9,369.00,374.99
242.3,240.00,246.99
364.5,360.00,365.99
364.51,360.00,365.99
364.4,360.00,365.99
364.41,360.00,365.99
364.1,360.00,365.99
364.2,360.00,365.99
381.1,381.00,385.99
381.2,381.00,385.99
381.11,381.00,385.99
381.3,381.00,385.99
384.4,381.00,385.99
385.5,381.00,385.99
386.9,386.00,386.99
384.1,381.00,385.99
382,381.00,385.99
381.9,381.00,385.99
389.3,387.00,389.99
389.4,387.00,389.99
389.5,387.00,389.99
352.1,351.00,355.99
352.2,351.00,355.99
353.1,351.00,355.99
353.2,351.00,355.99
250.6,249.00,250.99
350.1,350.00,350.99
350.3,350.00,350.99
355.1,351.00,355.99
350.2,350.00,350.99
350.5,350.00,350.99
350.6,350.00,350.99
480.1,480.00,488.99
480.11,480.00,488.99
480.3,480.00,488.99
480.2,480.00,488.99
480.5,480.00,488.99
474.2,470.00,479.99
464,460.00,469.99
465.2,460.00,469.99
465.4,460.00,469.99
496.1,490.00,498.99
496.2,490.00,498.99
496.21,490.00,498.99
496.3,490.00,498.99
497,490.00,498.99
495.1,490.00,498.99
495.11,490.00,498.99
495.2,490.00,498.99
509.1,500.00,509.99
509.2,500.00,509.99
500.1,500.00,509.99
500.2,500.00,509.99
501,500.00,509.99
502,500.00,509.99
503,500.00,509.99
504,500.00,509.99
509,500.00,509.99
394.4,394.00,399.99
394.2,394.00,399.99
513.8,513.00,513.99
514.1,514.00,514.99
513.3,513.00,513.99
479,470.00,479.99
513.31,513.00,513.99
513.32,513.00,513.99
513.4,513.00,513.99
516.1,516.00,516.99
512.3,512.00,512.99
512.1,512.00,512.99
512.2,512.00,512.99
512.9,512.00,512.99
473.1,470.00,479.99
473.4,470.00,479.99
473.3,470.00,479.99
498,490.00,498.99
475.9,470.00,479.99
474.1,470.00,479.99
401.3,401.00,405.99
401.22,401.00,405.99
395,394.00,399.99
396,394.00,399.99
395.2,394.00,399.99
395.1,394.00,399.99
395.4,394.00,399.99
395.3,394.00,399.99
395.6,394.00,399.99
425.1,420.00,425.99
425.2,420.00,425.99
420.1,420.00,425.99
420.2,420.00,425.99
420.3,420.00,425.99
420.21,420.00,425.99
420.22,420.00,425.99
411.3,410.00,414.99
414,410.00,414.99
418,418.00,418.99
415.1,415.00,417.99
415.2,415.00,417.99
416,415.00,417.99
414.2,410.00,414.99
654.1,652.00,654.99
426.4,426.00,427.99
426.8,426.00,427.99
426.9,426.00,427.99
426.91,426.00,427.99
426.92,426.00,427.99
427.61,426.00,427.99
427.3,426.00,427.99
427.7,426.00,427.99
427.9,426.00,427.99
430.1,430.00,438.99
430.2,430.00,438.99
430.3,430.00,438.99
433.1,430.00,438.99
433.11,430.00,438.99
433.12,430.00,438.99
427.41,426.00,427.99
427.42,426.00,427.99
428.1,428.00,429.99
411.4,410.00,414.99
411.41,410.00,414.99
411.9,410.00,414.99
411.8,410.00,414.99
433.6,430.00,438.99
433.21,430.00,438.99
433.3,430.00,438.99
433.8,430.00,438.99
433.31,430.00,438.99
433.5,430.00,438.99
443.8,440.00,449.99
442.1,440.00,449.99
442.2,440.00,449.99
442.3,440.00,449.99
442.8,440.00,449.99
442.4,440.00,449.99
444.1,440.00,449.99
444.5,440.00,449.99
446.1,440.00,449.99
446.9,440.00,449.99
452.2,450.00,457.99
454.1,450.00,457.99
454.11,450.00,457.99
450,450.00,450.99
452.8,450.00,457.99
429.1,428.00,429.99
402,401.00,405.99
520.1,520.00,526.99
520.2,520.00,526.99
521.4,520.00,526.99
523.31,520.00,526.99
523.32,520.00,526.99
526.4,520.00,526.99
526.41,520.00,526.99
526.42,520.00,526.99
526.1,520.00,526.99
526.5,520.00,526.99
526.8,520.00,526.99
526.9,520.00,526.99
526.3,520.00,526.99
527.1,527.00,529.99
527.2,527.00,529.99
527.7,527.00,529.99
527.8,527.00,529.99
528.1,527.00,529.99
528.11,527.00,529.99
528.12,527.00,529.99
528.5,527.00,529.99
528.4,527.00,529.99
528.41,527.00,529.99
528.6,527.00,529.99
528.3,527.00,529.99
529.1,527.00,529.99
529.6,527.00,529.99
528.7,527.00,529.99
531.5,531.00,531.99
535.2,535.00,537.99
535.8,535.00,537.99
535.9,535.00,537.99
536.3,535.00,537.99
536.8,535.00,537.99
537.1,535.00,537.99
550.1,550.00,550.99
550.2,550.00,550.99
550.3,550.00,550.99
550.4,550.00,550.99
550.5,550.00,550.99
550.6,550.00,550.99
540.1,540.00,540.99
540.11,540.00,540.99
558,555.00,564.99
560.1,555.00,564.99
560.2,555.00,564.99
560.3,555.00,564.99
560.4,555.00,564.99
562.1,555.00,564.99
562.2,555.00,564.99
565.1,565.00,569.99
574.12,574.00,576.99
574.2,574.00,576.99
574.3,574.00,576.99
575.7,574.00,576.99
578.8,578.00,579.99
575.9,574.00,576.99
575.8,574.00,576.99
575.2,574.00,576.99
571.8,570.00,573.99
573.7,570.00,573.99
573.5,570.00,573.99
563,555.00,564.99
556,555.00,564.99
556.11,555.00,564.99
556.1,555.00,564.99
559,555.00,564.99
568.1,565.00,569.99
425.8,420.00,425.99
428.4,428.00,429.99
428.3,428.00,429.99
561,555.00,564.99
564.8,555.00,564.99
557,555.00,564.99
557.1,555.00,564.99
569.2,565.00,569.99
480.12,480.00,488.99
480.13,480.00,488.99
580.1,580.00,590.99
580.11,580.00,590.99
580.2,580.00,590.99
